"Table 6-46:  Approach 2 Quantitative Uncertainty Estimates for Soil, Dead Organic Matter and Biomass C Stock Changes occurring within Land Converted to Grassland (MMT CO2 Eq. and Percent)",,,,,
Source,2020 Flux Estimatea,Uncertainty Range Relative to Flux Estimatea,,,
,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,Lower,Upper,Lower,Upper
,,Bound,Bound,Bound,Bound
Cropland Converted to Grassland,-19.7,-50.3,10.9,-155%,155%
Mineral Soil C Stocks: Tier 3,-17.3,-47.7,13.2,-176%,176%
Mineral Soil C Stocks: Tier 2,-3.8,-7,-0.6,-85%,85%
Organic Soil C Stocks: Tier 2,1.3,+ ,2.7,-103%,103%
Forest Land Converted to Grassland,18.1,4.9,31.3,-73%,73%
Aboveground Live Biomass,11.6,-0.5,23.7,-104%,104%
Belowground Live Biomass,2.1,-0.1,4.2,-103%,104%
Dead Wood ,-0.3,-0.1,+,-78%,100%
Litter ,4.6,-0.2,9.4,-104%,104%
Mineral Soil C Stocks: Tier 2,+,-0.2,0.1,-348%,348%
Organic Soil C Stocks: Tier 2,0.2,+ ,0.4,-114%,114%
Other Lands Converted to Grassland,-21.8,-37.3,-6.3,-71%,71%
Mineral Soil C Stocks: Tier 2,-21.9,-37.4,-6.3,-71%,71%
Organic Soil C Stocks: Tier 2,0.1,+ ,0.2,-155%,155%
Settlements Converted to Grassland,-1,-1.7,-0.2,-76%,76%
Mineral Soil C Stocks: Tier 2,-1,-1.7,-0.2,-75%,75%
Organic Soil C Stocks: Tier 2,+ ,+,+,-292%,292%
Wetlands Converted to Grasslands,0.2,+ ,0.5,-116%,116%
Mineral Soil C Stocks: Tier 2,+ ,-0.1,0.1,-882%,882%
Organic Soil C Stocks: Tier 2,0.2,+ ,0.5,-116%,116%
Total: Land Converted to Grassland,-24.1,-60.9,12.7,-153%,153%
Aboveground Live Biomass,11.6,-0.5,23.7,-104%,104%
Belowground Live Biomass,2.1,-0.1,4.2,-103%,104%
Dead Wood ,-0.3,-0.1,+,-78%,100%
Litter ,4.6,-0.2,9.4,-104%,104%
Mineral Soil C Stocks: Tier 3,-17.3,-47.7,13.2,-176%,176%
Mineral Soil C Stocks: Tier 2,-26.6,-42.5,-10.8,-60%,60%
Organic Soil C Stocks: Tier 2,1.8,0.4,3.2,-77%,77%
+ Absolute value does not exceed 0.05 MMT CO2 Eq.,,,,,
a Range of C stock change estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval.,,,,,
Notes: Totals may not sum due to independent rounding. Parentheses indicate negative values or net sequestration.,,,,,
