"Table 6-34:  Approach 2 Quantitative Uncertainty Estimates for Soil, Dead Organic Matter and Biomass C Stock Changes occurring within Land Converted to Cropland (MMT CO2 Eq. and Percent)",,,,,
Source,2020 Flux Estimate,Uncertainty Range Relative to Flux Estimatea,,,
,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,Lower,Upper,Lower,Upper
,,Bound,Bound,Bound,Bound
Grassland Converted to Cropland,8.8,-25.5,43.1,-390%,390%
Mineral Soil C Stocks: Tier 3,1.1,-33,35.2,-3006%,3006%
Mineral Soil C Stocks: Tier 2,4.4,1.3,7.4,-70%,70%
Organic Soil C Stocks: Tier 2,3.3,0.8,5.8,-75%,75%
Forest Land Converted to Cropland,47.3,8.8,85.8,-81%,81%
Aboveground Live Biomass,28.2,-7.6,64,-127%,127%
Belowground Live Biomass,5.5,-1.5,12.5,-127%,127%
Dead Wood ,5.5,-1.5,12.5,-127%,127%
Litter ,8,-2.2,18.2,-127%,143%
Mineral Soil C Stocks: Tier 2,0.2,-0.1,0.4,-134%,134%
Organic Soil C Stocks: Tier 2,+,-0.1,0.1,-1852%,1852%
Other Lands Converted to Cropland,-2.3,-3.7,-0.8,-64%,64%
Mineral Soil C Stocks: Tier 2,-2.3,-3.7,-0.8,-64%,64%
Organic Soil C Stocks: Tier 2,+,+,+,+,+
Settlements Converted to Cropland,-0.1,-0.3,+ ,-117%,117%
Mineral Soil C Stocks: Tier 2,-0.2,-0.3,+,-90%,90%
Organic Soil C Stocks: Tier 2,+ ,+ ,0.1,-85%,85%
Wetlands Converted to Croplands,0.6,+ ,1.3,-97%,97%
Mineral Soil C Stocks: Tier 2,0.2,+,0.5,-107%,107%
Organic Soil C Stocks: Tier 2,0.4,-0.2,1,-142%,142%
Total: Land Converted to Cropland,54.4,2.8,106,-95%,95%
Aboveground Live Biomass,28.2,-7.6,64,-127%,127%
Belowground Live Biomass,5.5,-1.5,12.5,-127%,127%
Dead Wood ,5.5,-1.5,12.5,-127%,127%
Litter ,8,-2.2,18.2,-127%,127%
Mineral Soil C Stocks: Tier 3,1.1,-33,35.2,-3006%,3006%
Mineral Soil C Stocks: Tier 2,2.3,-1.1,5.7,-147%,147%
Organic Soil C Stocks: Tier 2,3.8,1.2,6.3,-68%,68%
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,
a Range of C stock change estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval. ,,,,,
Notes: Totals may not sum due to independent rounding. Parentheses indicate negative values or net sequestration.,,,,,
