Table 7-13:  Variables and Data Sources for Organics in Centralized Domestic Wastewater,,,
,,,
Variable,Variable Description,Units,Inventory Years: Source of Value
Centrally Treated Organics (Gg BOD/year),,,
TOWCENTRALIZED,Total organics in centralized wastewater treatmenta,Gg BOD/year,1990-2020: Calculated
TOW,Total wastewater BOD Produced per Capitaa,Gg BOD/year,"1990-2020: Calculated, ERG (2018a)"
TCENTRALIZED,Percent collecteda,%,1990-2019: U.S. Census Bureau (2019)
,,,Data for intervening years obtained by linear interpolation
,,,2020: Forecasted from the rest of the time series
ICOLLECTED,Correction factor for additional industrial BOD discharged (1.25),No units,1990-2020: IPCC (2019)
,,,
a Value of this activity data varies over the time series.,,,
